red green 0 slash 0.8617565859999559
red green 0 slash 2.2840400549998776
yellow yellow 1 z 0.8185255230000621
green blue 0 slash 0.8910176270001102
red green 0 slash 1.211984910999945
blue yellow 0 slash 0.723421297999721
red red 1 z 0.9324843780000265
red green 0 slash 0.7485260250000465
blue red 0 slash 0.7641296530000545
red blue 0 slash 0.8766059039999163
green green 1 z 0.716127011000026
yellow blue 0 slash 0.692586657999982
blue yellow 0 slash 0.8283275639996646
green blue 0 slash 0.7958913790002953
green blue 0 slash 1.9810066249997362
red red 1 z 0.9647463979999884
red yellow 0 slash 0.652569307000249
yellow blue 0 slash 0.8357547679997879
red yellow 0 slash 0.7485472529997423
red red 1 z 0.6605235809997794
