green green 1 z 0.9495775000000322
red red 1 z 0.7160224459998972
red yellow 0 slash 0.6604007040000397
yellow green 0 slash 1.1153276099998948
red yellow 0 slash 0.7322335550002208
blue blue 1 z 0.9957451339996624
blue red 0 slash 0.6044138289998955
blue blue 1 z 0.643817124999714
red blue 0 slash 0.9639393329998711
yellow green 0 slash 0.619478787999924
yellow red 0 slash 0.6678215810002257
red blue 0 slash 0.7799718460000804
blue blue 1 z 0.5398413450002408
yellow blue 0 slash 0.6358451270002661
red yellow 0 slash 0.6920115039997654
green red 0 slash 0.6359242970002015
yellow blue 0 slash 0.588337975000286
yellow yellow 1 z 0.7640707330001533
green red 0 slash 1.1647080289999394
red yellow 0 slash 0.8682005939999726
