Trial,Congruent,Colour,Response,Time
11,0,green,slash,1.11532761
11,0,yellow,slash,0.732233555
11,1,blue,z,0.995745134
11,0,red,slash,0.604413829
11,1,blue,z,0.643817125
11,0,blue,slash,0.963939333
11,0,green,slash,0.619478788
11,0,red,slash,0.667821581
11,0,blue,slash,0.779971846
11,1,blue,z,0.539841345
11,0,blue,slash,0.635845127
11,0,yellow,slash,0.692011504
11,0,red,slash,0.635924297
11,0,blue,slash,0.588337975
11,1,yellow,z,0.764070733
11,0,red,slash,1.164708029
11,0,yellow,slash,0.868200594
12,1,blue,z,0.821490785
12,0,blue,slash,0.828507612
12,1,green,z,0.819954096
12,0,green,slash,0.867967264
12,0,blue,slash,0.741129144
12,1,green,z,0.740911735
12,0,red,slash,0.669265979
12,0,green,slash,0.701272466
12,0,blue,slash,0.644838981
12,0,blue,slash,0.724809192
12,0,green,slash,0.596861436
12,0,blue,slash,0.684882751
12,0,green,slash,0.812948121
12,0,blue,slash,0.781259633
12,0,blue,slash,0.620756323
12,0,blue,slash,0.716890873
12,1,yellow,z,0.684807717
12,0,red,slash,0.668313354
12,0,yellow,slash,0.756896033
12,1,blue,z,0.837251207
13,0,red,slash,0.964476273
13,0,blue,slash,0.537962887
13,1,blue,z,0.752403485
13,0,yellow,slash,0.601580884
13,0,yellow,slash,0.540683971
13,0,blue,slash,0.587582116
13,0,blue,slash,0.608592154
13,0,red,slash,0.566267229
13,0,green,slash,0.621938677
13,0,yellow,slash,0.711012073
13,1,yellow,z,0.592029197
13,0,red,slash,0.464554543
13,0,blue,slash,0.595017316
13,0,green,slash,0.578319974
13,0,blue,slash,0.737753669
13,1,blue,z,0.698215814
13,0,red,slash,0.552392932
13,0,red,slash,0.550413776
13,0,red,slash,1.330585555
13,0,yellow,slash,0.952177657
14,0,green,slash,0.861756586
14,0,green,slash,2.284040055
14,1,yellow,z,0.818525523
14,0,blue,slash,0.891017627
14,0,green,slash,1.211984911
14,0,yellow,slash,0.723421298
14,1,red,z,0.932484378
14,0,green,slash,0.748526025
14,0,red,slash,0.764129653
14,0,blue,slash,0.876605904
14,1,green,z,0.716127011
14,0,blue,slash,0.692586658
14,0,yellow,slash,0.828327564
14,0,blue,slash,0.795891379
14,0,blue,slash,1.981006625
14,1,red,z,0.964746398
14,0,yellow,slash,0.652569307
14,0,blue,slash,0.835754768
14,0,yellow,slash,0.748547253
14,1,red,z,0.660523581
15,0,red,slash,0.833426933
15,0,yellow,slash,0.746209577
15,1,red,z,0.538074295
15,0,blue,slash,0.60059749
15,0,green,slash,0.749406241
15,0,green,slash,1.896274015
15,0,blue,slash,0.660382337
15,1,green,z,0.921532733
15,0,red,slash,0.731189762
15,0,green,slash,0.729598046
15,0,red,slash,0.640210103
15,0,blue,slash,0.735727125
15,0,yellow,slash,0.929575052
15,0,yellow,slash,1.326963662
15,0,yellow,slash,0.732288111
15,0,yellow,slash,1.106389571
15,1,blue,z,1.319228788
15,1,green,z,1.086911047
15,1,blue,z,0.680033459
15,1,yellow,z,0.835772882
16,1,yellow,z,1.245234585
16,0,red,slash,0.924048448
16,0,yellow,slash,0.948711286
16,0,green,slash,1.0205024
16,0,red,slash,0.852376305
16,1,blue,z,0.828801177
16,1,blue,z,1.636680019
16,0,green,slash,1.107781462
16,0,blue,slash,1.531552929
16,1,blue,z,0.812279463
16,0,red,slash,0.804205551
16,0,blue,slash,0.812116283
16,1,yellow,z,0.740341189
16,0,red,slash,1.156260047
16,0,red,slash,0.76422936
16,0,red,slash,0.692899224
16,0,yellow,slash,1.260779073
16,0,green,slash,0.748341455
16,0,blue,slash,0.956886127
16,0,yellow,slash,0.820854045
17,1,yellow,z,1.060651373
17,1,blue,z,0.85542318
17,0,red,slash,0.589533815
17,0,blue,slash,0.670302863
17,0,blue,slash,0.578948958
17,0,blue,slash,0.888674099
17,1,blue,z,0.522054461
17,0,yellow,slash,0.582359928
17,0,red,slash,1.099994378
17,0,blue,slash,0.743239419
17,0,red,slash,0.742325237
17,0,red,slash,0.846476703
17,1,green,z,0.686355317
17,0,blue,slash,0.592903829
17,0,green,slash,0.674075452
17,0,green,slash,0.652664339
17,1,yellow,z,0.611113438
17,1,yellow,z,2.792978095
17,0,yellow,slash,2.976926905
17,1,green,z,0.789370628
18,0,green,slash,1.068816603
18,0,green,slash,0.64644216
18,0,red,slash,0.648934667
18,0,red,slash,0.796582773
18,0,green,slash,0.820970546
18,0,green,slash,0.975768319
18,0,blue,slash,0.769973924
18,0,blue,slash,1.775120009
18,0,green,slash,1.05898394
18,0,green,slash,0.67859525
18,0,green,slash,3.361063021
18,0,red,slash,1.823459398
18,0,red,slash,0.910777385
18,0,red,slash,1.697126859
18,1,yellow,z,0.794238695
18,0,yellow,slash,0.70183198
18,0,yellow,slash,0.901372743
18,0,red,slash,0.717840193
18,0,green,slash,0.865002601
18,0,green,slash,1.481096938
19,0,yellow,slash,0.668806728
19,0,red,slash,0.709383666
19,0,red,slash,1.339066726
19,0,blue,slash,1.237795069
19,0,blue,slash,0.54503942
19,1,yellow,z,0.843421203
19,0,yellow,slash,0.708418059
19,0,green,slash,0.579235931
19,0,green,slash,0.709392456
19,0,green,slash,0.623673518
19,0,yellow,slash,0.940405479
19,1,yellow,z,0.687592105
19,0,green,slash,0.807595723
19,1,yellow,z,0.811623518
19,0,yellow,slash,0.948949735
19,0,red,slash,0.498321847
19,0,red,slash,0.713602587
19,1,blue,z,1.056059022
19,0,yellow,slash,0.379115607
19,0,blue,slash,0.659654485
20,0,yellow,slash,0.829572144
20,0,yellow,slash,0.691428054
20,0,yellow,slash,0.619920687
20,0,blue,slash,0.668548177
20,1,blue,z,0.6764661
20,0,blue,slash,0.723719042
20,0,blue,slash,1.004383785
20,0,blue,slash,0.604336017
20,1,yellow,z,0.883398489
20,1,blue,z,0.724751076
20,0,red,slash,0.716532138
20,0,green,slash,0.892233017
20,1,red,z,0.708466287
20,0,blue,slash,0.708257052
20,0,red,slash,0.724199196
20,0,blue,slash,0.556219327
20,0,blue,slash,0.724108152
20,0,green,slash,0.716148392
20,1,green,z,0.780255595
20,0,red,slash,0.700232636
