blue blue 1 z 1.0113983809999922,1
red blue 0 slash 0.9906640289999586,1
green red 0 slash 0.7729855169999951,1
yellow green 0 slash 0.7496739409999691,1
red green 0 slash 0.6566195049999806,1
yellow yellow 1 z 0.5783304860000271,1
blue green 0 slash 1.0228070509999725,1
blue green 0 slash 1.386506231999988,1
blue yellow 0 slash 0.7888216530000136,1
green blue 0 slash 0.9663928560000272,1
yellow red 0 slash 0.709181381999997,1
red blue 0 slash 0.9450227740000514,1
yellow red 0 slash 0.7078406850000079,1
green red 0 slash 0.8436461320000035,1
green red 0 slash 0.9517956720000029,1
green blue 0 slash 1.975387459999979,1
blue red 0 slash 0.8997899899999879,1
green blue 0 slash 0.7011171990000094,1
green red 0 slash 0.7148148629999582,1
green red 0 slash 0.9267317719999824,1
green red 0 slash 1.0289929930004291,2
red green 0 slash 1.2971800389932469,2
red yellow 0 slash 0.8376768669986632,2
blue blue 1 z 0.6987869199947454,2
red yellow 0 slash 0.6676066700019874,2
blue red 0 slash 0.7841116360068554,2
red green 0 slash 0.8089126589911757,2
red red 1 z 1.1395985560084227,2
green blue 0 slash 0.9450610289932229,2
green green 1 z 0.9394836159917759,2
green red 0 slash 0.8303606689878507,2
blue green 0 slash 1.737656169992988,2
yellow yellow 1 z 0.9773958199948538,2
yellow yellow 1 z 0.7994331779918866,2
yellow green 0 slash 1.0926665349979885,2
red yellow 0 slash 1.4310170069948072,2
green yellow 0 slash 0.6501152300043032,2
yellow green 0 slash 0.6860482299962314,2
green red 0 slash 0.8834836210007779,2
red green 0 slash 0.7155729710066225,2
yellow red 0 slash 0.833858597005019,3
blue red 0 slash 0.9479897540004458,3
red red 1 z 0.6044770709995646,3
blue red 0 slash 0.627220195994596,3
yellow red 0 slash 0.6149260130041512,3
green yellow 0 slash 0.6357395780069055,3
red blue 0 slash 0.6459344699978828,3
blue green 0 slash 0.6600940740026999,3
yellow red 0 slash 0.9400639800005592,3
green green 1 z 0.8100495359976776,3
green blue 0 slash 0.6366958430007799,3
green yellow 0 slash 0.5620878850022564,3
blue yellow 0 slash 0.5896081020036945,3
red blue 0 slash 1.0139495039911708,3
red red 1 z 0.6024329329957254,3
red green 0 slash 0.46219044699682854,3
blue yellow 0 slash 0.6994214839942288,3
green blue 0 slash 0.7441195959981997,3
yellow red 0 slash 0.5574116870120633,3
red green 0 slash 0.5824283880065195,3
yellow green 0 slash 0.7765960629999427,4
yellow red 0 slash 0.7106611460000067,4
blue green 0 slash 0.662313536000056,4
red blue 0 slash 0.986030608999954,4
blue red 0 slash 1.3773524419999603,4
blue blue 1 z 0.614771778999966,4
yellow yellow 1 z 1.0703320099999019,4
red red 1 z 0.7760399500000403,4
red blue 0 slash 1.1728758430000426,4
blue yellow 0 slash 1.7878017499999714,4
yellow red 0 slash 1.1865698199999315,4
yellow red 0 slash 4.190890995000018,4
red yellow 0 slash 2.5815965709999773,4
red blue 0 slash 0.7198636809999925,4
blue blue 1 z 0.5345787090000158,4
yellow red 0 slash 0.6807944270000235,4
blue red 0 slash 0.6851709950000213,4
yellow red 0 slash 0.5925189049999062,4
green red 0 slash 0.6282147299999679,4
red yellow 0 slash 0.7483459500000436,4
red green 0 slash 1.4690745279999646,5
green yellow 0 slash 1.2391917790000093,5
green green 1 z 0.816581455000005,5
blue red 0 slash 0.5300290520000317,5
green red 0 slash 0.7627067550000106,5
green yellow 0 slash 0.7129223620000289,5
blue red 0 slash 0.6538214520000452,5
green red 0 slash 1.6525056239999572,5
yellow yellow 1 z 0.667944580999972,5
red red 1 z 0.8484993110000119,5
green blue 0 slash 0.8304967470000406,5
red red 1 z 0.5643080479999867,5
yellow yellow 1 z 0.7888636849999671,5
green yellow 0 slash 1.9193307740000023,5
blue red 0 slash 0.6582653529999902,5
yellow green 0 slash 0.7344846709999615,5
green yellow 0 slash 2.7915434099999743,5
red blue 0 slash 0.8525550740000085,5
green green 1 z 0.6864579530000015,5
yellow blue 0 slash 1.8261215640000046,5
green yellow 0 slash 1.7668935879999879,6
red yellow 0 slash 0.7519515259999991,6
yellow green 0 slash 3.971279695000021,6
blue blue 1 z 1.3078077380000082,6
blue yellow 0 slash 0.7776129670000103,6
red yellow 0 slash 0.7548330289999967,6
red green 0 slash 0.6608403570000121,6
blue green 0 slash 0.7736862200000019,6
green blue 0 slash 1.6612248489999786,6
blue green 0 slash 1.7736791939999819,6
red yellow 0 slash 0.7031076920000032,6
blue yellow 0 slash 0.86834116899999,6
green red 0 slash 1.0024951709999925,6
red blue 0 slash 4.522726242999994,6
yellow green 0 slash 2.885762724000017,6
red blue 0 slash 0.7563063409999984,6
blue yellow 0 slash 0.7857105930000046,6
yellow red 0 slash 1.1000135940000177,6
red yellow 0 slash 1.179418819999995,6
blue blue 1 z 0.6388138720000143,6
green blue 0 slash 0.6079105280000476,7
red yellow 0 slash 0.4987923559999672,7
blue blue 1 z 0.7850406640000074,7
