green red 0 slash 0.9644762730022194
yellow blue 0 slash 0.537962886999594
blue blue 1 z 0.7524034850066528
blue yellow 0 slash 0.6015808840020327
red yellow 0 slash 0.5406839710049098
green blue 0 slash 0.5875821160007035
red blue 0 slash 0.6085921539925039
yellow red 0 slash 0.5662672289909096
yellow green 0 slash 0.6219386769953417
green yellow 0 slash 0.7110120730067138
yellow yellow 1 z 0.592029196996009
blue red 0 slash 0.4645545430103084
green blue 0 slash 0.5950173160090344
red green 0 slash 0.5783199740108103
red blue 0 slash 0.7377536690037232
blue blue 1 z 0.6982158140017418
green red 0 slash 0.5523929319897434
yellow red 0 slash 0.5504137759999139
yellow red 0 slash 1.3305855549988337
green yellow 0 slash 0.9521776570036309
