green blue 0 slash 0.6079105280000476
red yellow 0 slash 0.4987923559999672
blue blue 1 z 0.7850406640000074
blue red 0 slash 0.5666773160000957
blue red 0 slash 1.0986729339999783
blue blue 1 z 0.6114044170001307
green green 1 z 0.9064470119999442
yellow yellow 1 z 0.6271653530000094
yellow green 0 z 0.20390089199986505
red red 1 z 1.3805031920001056
green yellow 0 slash 1.3479619029999412
green yellow 0 slash 1.5541520550000314
red blue 0 slash 1.2383292730000903
yellow red 0 slash 1.4979011909999826
yellow blue 0 slash 1.3059947670001293
green red 0 slash 1.007851144000142
blue blue 1 z 1.2134603199999674
yellow green 0 slash 0.787222378000024
blue blue 1 z 0.5978792250000424
green yellow 0 slash 0.8392137760001788
