yellow yellow 1 z 1.0606513730000415
blue blue 1 z 0.8554231800000025
green red 0 slash 0.5895338149999816
yellow blue 0 slash 0.6703028629999608
red blue 0 slash 0.5789489580000691
yellow blue 0 slash 0.8886740990000135
blue blue 1 z 0.5220544610000388
red yellow 0 slash 0.5823599279999598
yellow red 0 slash 1.0999943779999057
green blue 0 slash 0.7432394190000196
blue red 0 slash 0.7423252370000455
yellow red 0 slash 0.8464767030000075
green green 1 z 0.6863553169999932
red blue 0 slash 0.592903829000079
yellow green 0 slash 0.6740754519998973
red green 0 slash 0.6526643390000118
yellow yellow 1 z 0.6111134379999612
yellow yellow 1 z 2.7929780949999667
blue yellow 0 slash 2.9769269050000275
green green 1 z 0.7893706280000288
