green yellow 0 slash 1.7668935879999879
red yellow 0 slash 0.7519515259999991
yellow green 0 slash 3.971279695000021
blue blue 1 z 1.3078077380000082
blue yellow 0 slash 0.7776129670000103
red yellow 0 slash 0.7548330289999967
red green 0 slash 0.6608403570000121
blue green 0 slash 0.7736862200000019
green blue 0 slash 1.6612248489999786
blue green 0 slash 1.7736791939999819
red yellow 0 slash 0.7031076920000032
blue yellow 0 slash 0.86834116899999
green red 0 slash 1.0024951709999925
red blue 0 slash 4.522726242999994
yellow green 0 slash 2.885762724000017
red blue 0 slash 0.7563063409999984
blue yellow 0 slash 0.7857105930000046
yellow red 0 slash 1.1000135940000177
red yellow 0 slash 1.179418819999995
blue blue 1 z 0.6388138720000143
